x(m),n_pred,n_true,error
1555.0001,0.035897523,0.035562497,0.00033502653
1560.0,0.035902232,0.035499997,0.0004022345
1565.0,0.03591363,0.0354375,0.00047613308
1569.9999,0.035919223,0.035375,0.00054422393
1575.0,0.03592746,0.0353125,0.00061495975
1579.9999,0.035946697,0.03525,0.00069669634
1585.0,0.035959147,0.035187498,0.0007716492
1590.0,0.035962768,0.035125,0.00083776936
1595.0,0.035976104,0.0350625,0.0009136051
1600.0,0.03598583,0.035,0.000985831
1605.0,0.03600057,0.0349375,0.0010630675
1610.0,0.03601437,0.034874998,0.0011393726
1615.0,0.036027543,0.0348125,0.0012150444
1620.0,0.03604062,0.03475,0.0012906194
1625.0,0.036045298,0.0346875,0.0013577975
1630.0,0.036053985,0.034625,0.0014289841
1635.0,0.03607022,0.0345625,0.0015077218
1640.0,0.036077954,0.0345,0.0015779547
1645.0,0.03608927,0.0344375,0.0016517714
1650.0001,0.036094017,0.034374997,0.0017190203
1655.0,0.036097787,0.034312498,0.0017852895
1660.0001,0.036106177,0.03425,0.001856178
1665.0,0.03611283,0.0341875,0.0019253306
1670.0001,0.036105044,0.034124997,0.0019800477
1675.0,0.036099926,0.034062497,0.0020374283
1680.0001,0.036106676,0.033999998,0.0021066777
1685.0,0.036094964,0.0339375,0.0021574646
1690.0,0.036086693,0.033875,0.0022116937
1694.9999,0.03608097,0.0338125,0.0022684708
1700.0,0.036075786,0.033749998,0.0023257881
1704.9999,0.03605305,0.033687502,0.0023655482
1710.0,0.036028422,0.033625,0.0024034232
1715.0,0.036011532,0.0335625,0.002449032
1720.0,0.035988808,0.0335,0.0024888068
1725.0,0.03595165,0.033437498,0.0025141537
1730.0,0.035919912,0.033375,0.0025449134
1735.0,0.03588546,0.0333125,0.0025729612
1740.0,0.035840973,0.03325,0.002590973
1745.0,0.03578832,0.0331875,0.0026008189
1750.0,0.0357268,0.033125,0.0026018023
1755.0,0.035665367,0.0330625,0.0026028678
1760.0,0.03560298,0.033,0.0026029795
1765.0,0.035522364,0.0329375,0.0025848635
1770.0,0.035438612,0.032874998,0.0025636144
1775.0,0.035361502,0.0328125,0.0025490038
1780.0,0.0352667,0.03275,0.0025167018
1785.0001,0.03516128,0.032687496,0.0024737827
1790.0,0.035049874,0.032624997,0.0024248771
1795.0001,0.034927107,0.032562498,0.0023646094
1800.0,0.03480535,0.0325,0.0023053512
1805.0001,0.034674607,0.032437496,0.0022371113
1810.0,0.034515627,0.032375,0.0021406263
1815.0,0.03437019,0.032312497,0.002057694
1819.9999,0.034203663,0.032250002,0.0019536614
1825.0,0.0340323,0.0321875,0.001844801
1829.9999,0.033843078,0.032125,0.0017180778
1835.0,0.03365826,0.0320625,0.0015957579
1840.0,0.03344883,0.031999998,0.0014488325
1845.0,0.03323023,0.0319375,0.0012927316
1850.0,0.033015385,0.031875,0.0011403859
1855.0,0.032780297,0.0318125,0.0009677969
1860.0,0.032536134,0.03175,0.0007861331
1865.0,0.03229077,0.031687498,0.0006032735
1870.0,0.03202933,0.031625,0.00040433183
1875.0,0.031774305,0.0315625,0.0002118051
1880.0,0.03149875,0.0315,1.2516975e-06
1885.0,0.031228997,0.0314375,0.0002085045
1890.0,0.030948903,0.031375,0.00042609498
1895.0,0.030661242,0.0313125,0.0006512571
1900.0,0.03037548,0.03125,0.00087451935
1905.0,0.030076837,0.031187499,0.0011106618
1910.0001,0.029795608,0.031124998,0.0013293903
1915.0,0.029495616,0.031062499,0.0015668832
1920.0001,0.029204,0.030999998,0.0017959978
1925.0,0.028910635,0.0309375,0.0020268653
1930.0001,0.028633999,0.030874997,0.0022409987
1935.0,0.028343743,0.030812498,0.0024687555
1940.0,0.028060304,0.030749999,0.002689695
1944.9999,0.027785584,0.0306875,0.0029019155
1950.0,0.027505182,0.030625,0.0031198189
1954.9999,0.027248053,0.030562501,0.0033144485
1960.0,0.026980981,0.030499998,0.0035190172
1964.9999,0.026738163,0.030437501,0.003699338
1970.0,0.02648759,0.030375,0.0038874093
1975.0,0.02626618,0.030312499,0.004046319
1980.0,0.026044074,0.030249998,0.0042059235
1985.0,0.025829136,0.030187499,0.0043583624
1990.0,0.025615864,0.030125,0.004509136
1995.0,0.025412397,0.0300625,0.004650103
2000.0,0.025222857,0.03,0.004777143
