time,distance,h_error,Q_error,h_true,h_pred,Q_true,Q_pred
60.0,1400.0,0.0016357303,0.0036471784,0.3954708,0.39710653,0.4557598,0.45940697
60.0,1500.0,0.0003979206,0.000133425,0.39515954,0.39555746,0.4710043,0.47113773
60.0,1600.0,0.00039687753,0.0018452108,0.39481556,0.3944187,0.48728943,0.48544422
60.0,1700.0,0.000754863,0.002369821,0.3944338,0.39367893,0.5047228,0.50235295
60.0,1800.0,0.00069600344,0.0021736622,0.39400864,0.39331263,0.52342814,0.5212545
60.0,1900.0,0.0003399253,0.0021988153,0.39353383,0.3931939,0.5435456,0.5413468
60.0,2000.0,6.759167e-05,0.0031103492,0.39322752,0.3932951,0.56491,0.56179965
70.0,0.0,0.0002592504,0.02286774,0.40206254,0.4023218,0.83057815,0.8534459
70.0,100.0,0.0149602,0.037512064,0.42268705,0.40772685,0.816899,0.77938694
70.0,200.0,0.014899582,0.047923982,0.42783228,0.4129327,0.7660031,0.7180791
70.0,300.0,0.0050988197,0.01664251,0.42247498,0.41737616,0.6838021,0.6671596
70.0,400.0,0.0018361509,0.0037488341,0.4185324,0.42036855,0.61827147,0.6220203
70.0,500.0,0.0060563684,0.014864743,0.4155652,0.42162156,0.56478775,0.5796525
70.0,600.0,0.008128911,0.019260108,0.41327074,0.42139965,0.52019846,0.5394586
70.0,700.0,0.008632839,0.019256175,0.41141924,0.42005208,0.48248464,0.5017408
70.0,800.0,0.0107041,0.015022725,0.40708208,0.41778618,0.45277712,0.46779984
70.0,900.0,0.012377322,0.022226006,0.40081158,0.4131889,0.43655524,0.45878124
70.0,1000.0,0.008952767,0.017405093,0.39999905,0.40895182,0.43379384,0.45119894
70.0,1100.0,0.0049500763,0.009489447,0.39998308,0.40493315,0.43384096,0.4433304
70.0,1200.0,0.0029866993,0.0033166409,0.3984971,0.4014838,0.43525633,0.43857297
70.0,1300.0,0.0034020543,0.0056609213,0.39544874,0.3988508,0.44167396,0.4473349
70.0,1400.0,0.0019772649,0.004328221,0.3947353,0.39671257,0.45454723,0.45887545
70.0,1500.0,0.00052934885,0.00039732456,0.39437577,0.39490512,0.46967167,0.470069
70.0,1600.0,0.0003963709,0.0018645227,0.3939777,0.39358133,0.4858161,0.48395157
70.0,1700.0,0.00081032515,0.0025357604,0.3935362,0.39272588,0.5030884,0.50055265
70.0,1800.0,0.0007404089,0.0023525357,0.39304477,0.39230436,0.5216087,0.5192562
70.0,1900.0,0.00032162666,0.0022668839,0.39249796,0.39217633,0.54150844,0.53924155
